Barcode,Cluster
abdaijkl-1,3
abdcgemn-1,2
abddpnbi-1,3
abdegdmo-1,3
abdemkjm-1,3
abdfeonk-1,2
abdifpki-1,1
abdimfpb-1,3
abdnbbgc-1,2
abdoifcp-1,3
abdolobp-1,3
abdpbdpd-1,1
abeafmfi-1,1
abeaiehf-1,2
abeejlbb-1,2
abeejmhl-1,2
abefhfmm-1,2
abegdoka-1,3
abejbipd-1,3
abejiipc-1,1
abekimcd-1,3
abepbfbh-1,1
abfabiaa-1,2
abffbhcp-1,4
abfhjpok-1,1
abfhpikn-1,2
abfhpnha-1,4
abfkmlem-1,1
abflhcch-1,2
abfmmhfn-1,3
abfndfem-1,3
abfpkfhb-1,3
abfpmkhp-1,1
abgbhpei-1,1
abgcaogb-1,3
abgcddcb-1,3
abgdodbj-1,1
abgedkek-1,1
abgekljg-1,1
abggboed-1,1
abgiebdn-1,2
abgjofjc-1,2
abgknbpp-1,3
abgmbecj-1,2
abgnmnci-1,1
abgplplo-1,2
abhbbpao-1,2
abhbgapp-1,1
abhbhoil-1,1
abhbopjc-1,1
abhcbdbo-1,2
abhckajn-1,1
abhecjkm-1,1
abhegifc-1,3
abhehhkp-1,1
abhgodaj-1,3
abhidkkg-1,1
abhkfihd-1,2
abhkmlac-1,1
abhlfjmd-1,1
abhmedoe-1,2
abhnhjfm-1,3
abhnkofj-1,3
abhpbdlg-1,1
abichkja-1,2
abickeok-1,1
abickhba-1,1
abidacoc-1,2
abidlobc-1,3
abieicig-1,1
abiepeph-1,3
abiicokh-1,1
abiinpjp-1,3
abiopjoo-1,3
abipjchj-1,3
abipngpk-1,3
abjcfldd-1,2
abjdplja-1,3
abjenckb-1,2
abjfenno-1,2
abjgnhbb-1,2
abjgojak-1,4
abjhdcmd-1,2
abjhlajk-1,1
abjjbhkg-1,1
abjjmiak-1,2
abjkngen-1,2
abjnagag-1,1
abjnmfoi-1,2
abjohmnd-1,3
abjojdjd-1,2
abjpojjc-1,1
abkapcic-1,2
abkbdlnf-1,1
abkcghen-1,1
abkemheb-1,1
abkfffpc-1,2
abkhfenc-1,4
abkodfcc-1,1
abkopheh-1,4
ablbofld-1,3
ablefhgh-1,1
ablganpl-1,1
ablhbjje-1,2
ablhkmfc-1,1
ablkolkh-1,2
ablmjpfo-1,2
ablpmnef-1,1
abmagaal-1,1
abmcghde-1,1
abmcmmia-1,2
abmdedih-1,1
