Barcode,Cluster
aapkiifi-1,3
aapknhdm-1,1
aaplhdcn-1,3
aapmbodp-1,2
aapmicko-1,3
aapnglkg-1,2
aapnnodc-1,2
aapodcje-1,1
abaaappk-1,2
ababbock-1,6
ababmibd-1,1
abaenknc-1,1
abaeoccp-1,2
abaepaem-1,1
abafepfl-1,1
abagmcln-1,1
abagndjj-1,1
abahpkgp-1,3
abamdbic-1,3
abampbig-1,3
abaoaccf-1,1
abaofnoh-1,3
abbahdoj-1,4
abbbhllf-1,1
abbchiin-1,1
abbcjbgi-1,2
abbckcpc-1,1
abbclpbd-1,3
abbclple-1,4
abbdalab-1,1
abbdepje-1,1
abbennie-1,1
abbhhnbb-1,1
abbiacpl-1,4
abbimlje-1,1
abbjcpcc-1,1
abbjpgdb-1,5
abbjpkni-1,1
abblcibl-1,1
abbmfpfe-1,1
abbmnnof-1,4
abbobiom-1,1
abbpmkmo-1,1
abbpmnmb-1,1
abcalfke-1,1
abcebhga-1,1
abcecbom-1,1
abcemaip-1,1
abcjeiop-1,6
abckaeia-1,1
abckhdpl-1,1
abckokpi-1,4
abclnhhe-1,1
abcmiiof-1,4
abcpgpae-1,5
abcphlfn-1,3
abdbbged-1,2
abdbendj-1,3
abdbfkdm-1,2
abdbjhhl-1,1
abdcddga-1,1
abdcmocf-1,1
abddfmoo-1,1
abddpeai-1,1
abdfpjlj-1,3
abdgahcd-1,6
abdgcibi-1,3
abdggllc-1,3
abdhgpng-1,1
abdhpjnp-1,6
abdidlnp-1,1
abdihbph-1,2
abdjboki-1,4
abdkdimm-1,3
abdlcfld-1,2
abdnijgh-1,2
abdnnmod-1,1
abdobmme-1,1
abdonmaa-1,3
abdpakpk-1,4
abdplchd-1,2
abeafock-1,1
abeajnlc-1,2
abebgbng-1,1
abeblmcm-1,1
abebmpce-1,1
abecklgf-1,1
abeddnle-1,4
abedeioh-1,1
abefdlig-1,1
abehlioi-1,1
abeidgjf-1,1
abejkkcb-1,1
abejohnc-1,4
abelacmn-1,4
abelifgg-1,1
abelkhfk-1,1
abemaain-1,1
abemmamd-1,3
abenifol-1,1
abeninfp-1,2
abenmhbn-1,2
abeonfon-1,6
abepphkm-1,5
abfbnahe-1,5
abfccdab-1,1
abfcffoi-1,3
abfckebm-1,4
abfddppl-1,3
abfdmopd-1,1
abfechhm-1,1
abfghijn-1,4
abfhpdjg-1,1
abfhpllb-1,1
abfjegbe-1,1
abfjmion-1,2
abfjnnbb-1,3
abfkmodo-1,1
abfmpmmh-1,1
abfnepkn-1,3
abfnfnan-1,3
abfoeepd-1,4
abfohhlb-1,1
abfpciep-1,2
abfppblh-1,1
abgbgohe-1,4
abgefbpm-1,6
abgepkdd-1,4
abgfdloo-1,1
abgffpef-1,1
abgglfhg-1,1
abgjdcdh-1,1
abgjeddh-1,3
abgjkfok-1,3
abgklfac-1,2
abglmmko-1,1
abgmcbmb-1,1
abgmmagd-1,1
abgoldme-1,6
abhadpih-1,1
abhaehai-1,1
abhcdkpp-1,5
abhdefip-1,1
abhggmoi-1,5
abhihlhd-1,5
abhiiacc-1,1
abhjkcao-1,1
abhjkhah-1,1
abhjkkkb-1,3
abhjonbm-1,2
abhkndmj-1,1
abhllnlk-1,3
abhlogoi-1,2
abhlohcn-1,6
abhmnhgn-1,2
abhpofhf-1,1
abicpndg-1,1
abiekock-1,6
abieoefc-1,1
abiglpgi-1,6
abignbdp-1,1
abihhmdg-1,5
abiicgmk-1,4
abiicgmm-1,1
abiiiaak-1,2
abiinnnk-1,1
abijjhmf-1,2
abimhndm-1,1
abingmjf-1,1
abinmblb-1,3
abipnhdn-1,1
abjbgjnj-1,2
abjcbhfj-1,4
abjcbljm-1,1
abjcipfo-1,1
abjcljfl-1,1
abjdilhn-1,5
abjeacnl-1,1
abjehejd-1,3
abjflmod-1,3
abjgfpok-1,2
abjhlmbh-1,1
abjikbjj-1,1
abjipacd-1,5
abjjibli-1,5
abjlecdm-1,5
abjlkgkf-1,5
abjmdcmi-1,5
abjmhbhe-1,5
abjncfkg-1,5
abjoalgf-1,5
abjogkjm-1,5
abjpbomh-1,5
abjphcod-1,1
abkbekah-1,1
abkbkama-1,3
abkccfko-1,4
abkcmopf-1,1
abkdfggh-1,2
abkdfgin-1,4
abkedcjg-1,3
abkeecnm-1,1
abkfgepe-1,6
abkgkaik-1,1
abkhdman-1,1
abkhhidn-1,1
abkhhkkk-1,2
abkicenh-1,1
abkjdepk-1,1
abkjijlg-1,1
abkjkhgp-1,1
abkkgafk-1,1
abkkigfp-1,2
abkklbbc-1,2
abklfieb-1,1
abklgdim-1,1
abklpgpk-1,3
abkojpfe-1,6
abkooaca-1,1
abkoofhb-1,2
abkpgdbh-1,2
abladafh-1,1
ablbajpf-1,4
ablbhdci-1,1
ablcpcjd-1,1
abldmpgk-1,1
ablfhmmk-1,2
ablhdllf-1,1
ablhkbpi-1,1
ablhocgm-1,3
ablihgha-1,4
abljjlei-1,5
ablmlcmp-1,1
ablnajlc-1,2
abloehea-1,1
abloeiem-1,1
abloimoc-1,4
ablphphm-1,1
abmaicnf-1,5
abmbgkbo-1,4
abmbjnhb-1,4
abmdadcm-1,1
abmdcied-1,1
abmebpha-1,1
abmehbfo-1,5
abmekmpe-1,2
abmfjdkl-1,2
abmigjlb-1,1
abmjklfg-1,2
abmkabjb-1,1
abmkbonl-1,1
abmkedpa-1,1
abmkmafn-1,1
abmkmfgf-1,1
abmlbmkm-1,1
abmlcjip-1,2
abmmhkak-1,6
abmmlepo-1,1
abmmpflg-1,2
abmndmhm-1,1
abmojffn-1,4
abncejja-1,1
abncpbip-1,1
abndgjmm-1,1
abndneph-1,1
abndnped-1,1
abnejnkg-1,1
abneohij-1,1
abngmgcj-1,1
abnignfk-1,1
abnjfbgp-1,2
abnjfbom-1,1
abnkkonh-1,1
abnlhdbf-1,1
abnnjgcg-1,1
abnnkaem-1,1
aboadfgk-1,2
aboaikba-1,1
abobdmbn-1,1
abobelfk-1,1
abobgiek-1,1
aboceedn-1,1
abochdph-1,1
abodblci-1,1
abodeeig-1,1
aboemhla-1,1
abogjpfm-1,2
abokcicn-1,1
abokdjph-1,4
aboljmoa-1,1
abomacjm-1,2
abomkkhe-1,1
aboofcbp-1,1
abpaaihe-1,1
abpaddag-1,1
abpahcci-1,2
abpbboem-1,1
abpbiebe-1,2
abpbnnbk-1,1
abpbpcoa-1,1
abpcccae-1,1
abpcdeco-1,2
abpcflmb-1,1
abpdcegi-1,1
abpeecfh-1,1
abpfaaoj-1,2
abpfehpk-1,4
abpidcpk-1,2
abpihfic-1,1
abpjddgf-1,1
abpjfmcb-1,6
abpjhino-1,1
abpkolgo-1,1
abplmohh-1,1
abpmjhgm-1,2
abpnmhhp-1,2
abpoegig-1,2
abpojann-1,2
abpplfmp-1,2
abpplice-1,2
acaaeomp-1,4
acabcfbi-1,2
acabdlak-1,5
acacamjb-1,2
acadoghk-1,2
acaeefjn-1,1
acafflkc-1,1
acagbcad-1,2
acagjbpd-1,1
acajieog-1,2
acakcanh-1,1
acamabmh-1,2
acamlfaj-1,2
acanilfn-1,2
acannlof-1,1
acaondlb-1,2
acapjknj-1,2
acbafimf-1,1
acbalgcc-1,4
acbbgckp-1,1
acbcdeie-1,5
acbchjhb-1,2
acbcpecd-1,4
acbdalok-1,4
acbdfmio-1,2
acbgeogb-1,4
acbhbbea-1,2
acbhglmo-1,2
acbhkehf-1,1
acbhlpbc-1,6
acbifppf-1,1
acbilicj-1,2
acbjiocp-1,2
acbjjlgj-1,2
acbkbcpe-1,2
acbmahgj-1,1
acbmojmg-1,2
acbmpokn-1,2
acbocdah-1,2
accagmcb-1,4
acccppii-1,1
acceakff-1,2
acceffah-1,2
accfdken-1,2
accffpbp-1,2
accgfllo-1,2
accggiaj-1,4
accgkegl-1,2
accglkcn-1,2
acchamlf-1,4
acchjcpg-1,2
acchjego-1,2
accjemem-1,2
accjgcnf-1,2
acckncch-1,2
accmiiii-1,3
accmpoic-1,2
accnaghc-1,2
accnlgcg-1,2
accnmcic-1,1
accoljne-1,2
accpmbch-1,2
acdapocp-1,4
acdcglgl-1,4
acdcppdi-1,2
acddbipj-1,2
acddhmji-1,2
acddoeba-1,2
acddpghc-1,2
acdedmie-1,4
acdgaeca-1,2
acdgbfee-1,1
acdggimo-1,4
acdhflea-1,4
acdhigpo-1,2
acdippno-1,2
acdjdaop-1,1
acdlhdln-1,4
acdmjhnk-1,2
acdmllke-1,2
acdpggdm-1,4
aceagkhl-1,4
