NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_44	RPL13	ribosomal protein L13 [Source:HGNC Symbol;Acc:HGNC:10303]	2721	-0.5086735486984253	-0.3120704	Yes	
row_45	RPS28	ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:10418]	2726	-0.5112236738204956	-0.29864419	Yes	
row_46	RPL27A	ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329]	2730	-0.5161808729171753	-0.28477508	Yes	
row_47	RPS8	ribosomal protein S8 [Source:HGNC Symbol;Acc:HGNC:10441]	2735	-0.5220067501068115	-0.2710403	Yes	
row_48	RPLP2	ribosomal protein lateral stalk subunit P2 [Source:HGNC Symbol;Acc:HGNC:10377]	2738	-0.5258261561393738	-0.25659415	Yes	
row_49	RPL19	ribosomal protein L19 [Source:HGNC Symbol;Acc:HGNC:10312]	2765	-0.5507133603096008	-0.24866033	Yes	
row_50	RPS13	ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386]	2778	-0.5627971887588501	-0.23616637	Yes	
row_51	RPL18A	ribosomal protein L18a [Source:HGNC Symbol;Acc:HGNC:10311]	2782	-0.5657589435577393	-0.22087844	Yes	
row_52	RPL7	ribosomal protein L7 [Source:HGNC Symbol;Acc:HGNC:10363]	2783	-0.5673758387565613	-0.20464116	Yes	
row_53	RPL4	ribosomal protein L4 [Source:HGNC Symbol;Acc:HGNC:10353]	2796	-0.5763012170791626	-0.19176075	Yes	
row_54	RPS19	ribosomal protein S19 [Source:HGNC Symbol;Acc:HGNC:10402]	2823	-0.5967530608177185	-0.18250936	Yes	
row_55	RPS11	ribosomal protein S11 [Source:HGNC Symbol;Acc:HGNC:10384]	2825	-0.5982604026794434	-0.16568924	Yes	
row_56	RPL10A	ribosomal protein L10a [Source:HGNC Symbol;Acc:HGNC:10299]	2826	-0.6003589034080505	-0.14850806	Yes	
row_57	RPL30	ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:10333]	2844	-0.6120026111602783	-0.13611105	Yes	
row_58	RPS6	ribosomal protein S6 [Source:HGNC Symbol;Acc:HGNC:10429]	2849	-0.6171131134033203	-0.11965448	Yes	
row_59	RPL13A	ribosomal protein L13a [Source:HGNC Symbol;Acc:HGNC:10304]	2865	-0.6300472617149353	-0.10613901	Yes	
row_60	RPL28	ribosomal protein L28 [Source:HGNC Symbol;Acc:HGNC:10330]	2878	-0.6464945673942566	-0.09124979	Yes	
row_61	RPS20	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]	2881	-0.647707998752594	-0.0733156	Yes	
row_62	RPL23A	ribosomal protein L23a [Source:HGNC Symbol;Acc:HGNC:10317]	2882	-0.6494158506393433	-0.05473049	Yes	
row_63	RPS18	ribosomal protein S18 [Source:HGNC Symbol;Acc:HGNC:10401]	2901	-0.6686555743217468	-0.041013196	Yes	
row_64	RPL12	ribosomal protein L12 [Source:HGNC Symbol;Acc:HGNC:10302]	2937	-0.7158610224723816	-0.031062366	Yes	
row_65	RPS27	ribosomal protein S27 [Source:HGNC Symbol;Acc:HGNC:10416]	2949	-0.7246202826499939	-0.0136362985	Yes	
row_66	RPS15A	ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]	2954	-0.728058397769928	0.0059953257	Yes	
row_67	RPS2	ribosomal protein S2 [Source:HGNC Symbol;Acc:HGNC:10404]	2988	-0.7741517424583435	0.018216377	Yes	
row_68	RPLP1	ribosomal protein lateral stalk subunit P1 [Source:HGNC Symbol;Acc:HGNC:10372]	2992	-0.7780458331108093	0.039579574	Yes	
row_69	RPL10	ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]	3078	-0.9002389907836914	0.0397558	Yes	
row_70	RPLP0	ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]	3097	-0.9292829036712646	0.060931776	Yes	
row_71	RPS4X	ribosomal protein S4 X-linked [Source:HGNC Symbol;Acc:HGNC:10424]	3115	-0.9738656282424927	0.08368465	Yes	
