NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
DIRAS2	1	DIRAS2	
MTX3	1	MTX3	
ZNF667	1	ZNF667	
CREB1	1	CREB1	
MPC2	1	MPC2	
ATP6V1D	1	ATP6V1D	
MRPL21	1	MRPL21	
GALNT15	1	GALNT15	
SLC30A9	1	SLC30A9	
STRADA	1	STRADA	
SLC27A4	1	SLC27A4	
TAOK2	1	TAOK2	
SLC25A11	1	SLC25A11	
WDR6	1	WDR6	
RSF1	1	RSF1	
DUSP6	1	DUSP6	
EIF5A	1	EIF5A	
CLSTN3	1	CLSTN3	
FLOT2	1	FLOT2	
CARNMT1	1	CARNMT1	
IQSEC1	1	IQSEC1	
ZNF766	1	ZNF766	
RNF169	1	RNF169	
THUMPD1	1	THUMPD1	
RAPGEF1	1	RAPGEF1	
BPGM	1	BPGM	
ACE	1	ACE	
BLCAP	1	BLCAP	
DYNC1I2	1	DYNC1I2	
PAK1IP1	1	PAK1IP1	
GAP43	1	GAP43	
ZIK1	1	ZIK1	
TRIM13	1	TRIM13	
TFAM	1	TFAM	
NEDD1	1	NEDD1	
KIF7	1	KIF7	
SACM1L	1	SACM1L	
ALG9	1	ALG9	
CD247	1	CD247	
TUBB2A	1	TUBB2A	
PCNX1	1	PCNX1	
ENDOG	1	ENDOG	
POLH	1	POLH	
COPS5	1	COPS5	
PDCD10	1	PDCD10	
TCF4	1	TCF4	
ZNF347	1	ZNF347	
OTUD6B-AS1	1	OTUD6B-AS1	
CREBL2	1	CREBL2	
C3orf18	1	C3orf18	
ZBED8	1	ZBED8	
CEP68	1	CEP68	
GLYR1	1	GLYR1	
NR1D2	1	NR1D2	
IAH1	1	IAH1	
HS3ST4	1	HS3ST4	
SPSB3	1	SPSB3	
VCPIP1	1	VCPIP1	
PPIL1	1	PPIL1	
BTN2A2	1	BTN2A2	
VPS4A	1	VPS4A	
FARSA	1	FARSA	
TRIM52	1	TRIM52	
CAMSAP3	1	CAMSAP3	
INPP4A	1	INPP4A	
PPP1R26-AS1	1	PPP1R26-AS1	
PRKG1	1	PRKG1	
PAIP2B	1	PAIP2B	
CCDC186	1	CCDC186	
FLCN	1	FLCN	
UPRT	1	UPRT	
RNF26	1	RNF26	
PWP1	1	PWP1	
ASCC2	1	ASCC2	
LINC02478	1	LINC02478	
PPP2R2B	1	PPP2R2B	
SSH3	1	SSH3	
CAMK1D	1	CAMK1D	
CDKN2AIPNL	1	CDKN2AIPNL	
ZFP1	1	ZFP1	
REEP4	1	REEP4	
IMPACT	1	IMPACT	
PKNOX1	1	PKNOX1	
VAMP1	1	VAMP1	
ZC3H4	1	ZC3H4	
FXR2	1	FXR2	
TRAP1	1	TRAP1	
MINPP1	1	MINPP1	
EI24	1	EI24	
INTS8	1	INTS8	
SNX13	1	SNX13	
SENP2	1	SENP2	
DMAP1	1	DMAP1	
C6orf136	1	C6orf136	
ARL9	1	ARL9	
FTSJ3	1	FTSJ3	
SF3B5	1	SF3B5	
NEURL4	1	NEURL4	
PET117	1	PET117	
REEP1	1	REEP1	
PREPL	1	PREPL	
ATF5	1	ATF5	
MAP2K3	1	MAP2K3	
SLC19A3	1	SLC19A3	
ZNF229	1	ZNF229	
ZNF197	1	ZNF197	
PRMT2	1	PRMT2	
ENO2	1	ENO2	
ABHD16A	1	ABHD16A	
ATP1B1	1	ATP1B1	
USP51	1	USP51	
SLC4A8	1	SLC4A8	
ZBED5	1	ZBED5	
ZFP3	1	ZFP3	
RAB11FIP3	1	RAB11FIP3	
ZNF501	1	ZNF501	
CCZ1	1	CCZ1	
CCNQ	1	CCNQ	
BEND5	1	BEND5	
ACVR2B	1	ACVR2B	
GRB10	1	GRB10	
NEMF	1	NEMF	
SETD1B	1	SETD1B	
GPLD1	1	GPLD1	
EMP2	1	EMP2	
ZFYVE27	1	ZFYVE27	
BCAT1	1	BCAT1	
MFSD5	1	MFSD5	
UBFD1	1	UBFD1	
NMT2	1	NMT2	
THAP9-AS1	1	THAP9-AS1	
PLSCR4	1	PLSCR4	
C7orf25	1	C7orf25	
MTIF3	1	MTIF3	
AKT1S1	1	AKT1S1	
CFAP206	1	CFAP206	
MARCHF2	1	MARCH2	
SHC1	1	SHC1	
DEXI	1	DEXI	
MITD1	1	MITD1	
NDOR1	1	NDOR1	
RAB2A	1	RAB2A	
STIMATE	1	STIMATE	
NUP50-DT	1	NUP50-DT	
SBNO1	1	SBNO1	
C15orf61	1	C15orf61	
LUZP1	1	LUZP1	
PRIMPOL	1	PRIMPOL	
MALINC1	1	MALINC1	
CYP4X1	1	CYP4X1	
NDC1	1	NDC1	
PRORP	1	PRORP	
EML6	1	EML6	
STX17	1	STX17	
CDC42EP1	1	CDC42EP1	
ERLEC1	1	ERLEC1	
JMY	1	JMY	
PEX12	1	PEX12	
TSPAN13	1	TSPAN13	
DDX18	1	DDX18	
HVCN1	1	HVCN1	
TRAPPC12	1	TRAPPC12	
DOP1B	1	DOP1B	
COPS6	1	COPS6	
TMEM249	1	TMEM249	
IQSEC3	1	IQSEC3	
YIPF6	1	YIPF6	
LRRC3	1	LRRC3	
HS6ST3	1	HS6ST3	
DBNDD1	1	DBNDD1	
BASP1	1	BASP1	
BIVM	1	BIVM	
CDK13	1	CDK13	
LINS1	1	LINS1	
DLG1	1	DLG1	
TAF5	1	TAF5	
CENPBD1P	1	CENPBD1	
EIF5B	1	EIF5B	
GPR180	1	GPR180	
KIAA2026	1	KIAA2026	
VAV1	1	VAV1	
PAFAH1B1	1	PAFAH1B1	
PSMD12	1	PSMD12	
FKBP9	1	FKBP9	
USP27X-DT	1	USP27X-AS1	
PSEN2	1	PSEN2	
CPOX	1	CPOX	
LINC00877	1	LINC00877	
HEATR5A	1	HEATR5A	
KCTD2	1	KCTD2	
USP14	1	USP14	
INIP	1	INIP	
HSPA1L	1	HSPA1L	
VEGFC	1	VEGFC	
PPP1R13B	1	PPP1R13B	
CYP46A1	1	CYP46A1	
RAB3IL1	1	RAB3IL1	
LINC01234	1	LINC01234	
TMEM259	1	TMEM259	
ACTR1B	1	ACTR1B	
POC5	1	POC5	
KCNJ10	1	KCNJ10	
PEG13	1	PEG13	
NRBP1	1	NRBP1	
NOVA2	1	NOVA2	
NHLH2	1	NHLH2	
RFK	1	RFK	
TSPAN15	1	TSPAN15	
RAB3C	1	RAB3C	
ADAM22	1	ADAM22	
RNF128	1	RNF128	
UBE2V2	1	UBE2V2	
DCLK1	1	DCLK1	
CHKA	1	CHKA	
KDM2B	1	KDM2B	
TSPYL4	1	TSPYL4	
SLC8A1	1	SLC8A1	
GABRE	1	GABRE	
MACROD2	1	MACROD2	
F8	1	F8	
ACSL6	1	ACSL6	
MRPS35	1	MRPS35	
DCAF1	1	DCAF1	
DHRS13	1	DHRS13	
SLC30A10	1	SLC30A10	
KCNV1	1	KCNV1	
BAG5	1	BAG5	
ZFTA	1	C11orf95	
SOX4	1	SOX4	
LMBRD2	1	LMBRD2	
GUCY1B1	1	GUCY1B1	
PDXK	1	PDXK	
DNAJC3	1	DNAJC3	
KIZ	1	KIZ	
VAMP7	1	VAMP7	
CDC37L1	1	CDC37L1	
TTC8	1	TTC8	
TAF3	1	TAF3	
KLHL18	1	KLHL18	
BTBD19	1	BTBD19	
ZNF263	1	ZNF263	
SIGMAR1	1	SIGMAR1	
ATG4C	1	ATG4C	
SEMA5A	1	SEMA5A	
GNPNAT1	1	GNPNAT1	
KAT2A	1	KAT2A	
PRR36	1	PRR36	
MOB3A	1	MOB3A	
ISCA1	1	ISCA1	
DDX59-AS1	1	DDX59-AS1	
GRPEL2	1	GRPEL2	
RPAP1	1	RPAP1	
BEX1	1	BEX1	
ARMCX1	1	ARMCX1	
TTC23L	1	TTC23L	
ARSK	1	ARSK	
TNR	1	TNR	
ZNF41	1	ZNF41	
ETNK2	1	ETNK2	
GMCL1	1	GMCL1	
UQCRFS1	1	UQCRFS1	
MNAT1	1	MNAT1	
ZDHHC18	1	ZDHHC18	
BCL2L15	1	BCL2L15	
UBTD2	1	UBTD2	
ARRB1	1	ARRB1	
NPFFR1	1	NPFFR1	
EPHA5-AS1	1	EPHA5-AS1	
BICRAL	1	BICRAL	
AKAP9	1	AKAP9	
FAM200A	1	FAM200A	
ATP9A	1	ATP9A	
SFXN4	1	SFXN4	
LGALS1	1	LGALS1	
KCNQ2	1	KCNQ2	
ELAPOR1	1	KIAA1324	
TATDN2	1	TATDN2	
FAHD1	1	FAHD1	
LILRB4	1	LILRB4	
MELTF	1	MELTF	
MRPS12	1	MRPS12	
MAIP1	1	MAIP1	
MRPS26	1	MRPS26	
BEX5	1	BEX5	
EPHB2	1	EPHB2	
DIP2C	1	DIP2C	
GHITM	1	GHITM	
PARVB	1	PARVB	
TRIM44	1	TRIM44	
CHROMR	1	CHROMR	
BOD1L1	1	BOD1L1	
FASTKD1	1	FASTKD1	
RAB11A	1	RAB11A	
PLPPR5	1	PLPPR5	
DCUN1D5	1	DCUN1D5	
XRRA1	1	XRRA1	
SLC2A4RG	1	SLC2A4RG	
GSTCD	1	GSTCD	
MED13L	1	MED13L	
N4BP2L1	1	N4BP2L1	
GARIN5A	1	FAM71E1	
CPXM2	1	CPXM2	
MYH7	1	MYH7	
TRMT1	1	TRMT1	
VAMP4	1	VAMP4	
SGTB	1	SGTB	
ZNF133	1	ZNF133	
KIF1C	1	KIF1C	
CPNE8	1	CPNE8	
SEL1L	1	SEL1L	
SLC8A3	1	SLC8A3	
GRIN2B	1	GRIN2B	
GPRC5C	1	GPRC5C	
PPFIBP2	1	PPFIBP2	
UBP1	1	UBP1	
TBC1D22A	1	TBC1D22A	
STT3B	1	STT3B	
PCM1	1	PCM1	
TBPL1	1	TBPL1	
SSRP1	1	SSRP1	
CCNF	1	CCNF	
AGBL5	1	AGBL5	
NDUFAF2	1	NDUFAF2	
HLA-B	1	HLA-B	
LINC02298	1	LINC02298	
TRIP12	1	TRIP12	
RNF149	1	RNF149	
ITGA4	1	ITGA4	
WDR70	1	WDR70	
ZNF322	1	ZNF322	
SPRYD7	1	SPRYD7	
LINC01664	1	LINC01664	
MARVELD1	1	MARVELD1	
ASIC1	1	ASIC1	
RAB26	1	RAB26	
ZNF518A	1	ZNF518A	
COX15	1	COX15	
TLL2	1	TLL2	
POLD2	1	POLD2	
DDX25	1	DDX25	
WRNIP1	1	WRNIP1	
STAT2	1	STAT2	
ZNF713	1	ZNF713	
MGARP	1	MGARP	
BEX4	1	BEX4	
GTPBP4	1	GTPBP4	
TSTD1	1	TSTD1	
EIF2B4	1	EIF2B4	
NLGN1	1	NLGN1	
OCIAD2	1	OCIAD2	
RETREG2	1	RETREG2	
PLEKHH1	1	PLEKHH1	
GVQW3	1	GVQW3	
BOD1	1	BOD1	
MAP1S	1	MAP1S	
GOLPH3	1	GOLPH3	
GOLGB1	1	GOLGB1	
LDB3	1	LDB3	
SEC23A	1	SEC23A	
CBX3	1	CBX3	
MED16	1	MED16	
UPF2	1	UPF2	
DCAF12L2	1	DCAF12L2	
AMPD2	1	AMPD2	
PSMD1	1	PSMD1	
MYO5A	1	MYO5A	
MT-CO1	1	MT-CO1	
CDC42BPB	1	CDC42BPB	
RBM12	1	RBM12	
RIN1	1	RIN1	
LRRC27	1	LRRC27	
OPA1	1	OPA1	
HAS3	1	HAS3	
CASTOR3P	1	CASTOR3	
PTGFRN	1	PTGFRN	
PAXBP1-AS1	1	PAXBP1-AS1	
RYR1	1	RYR1	
USP31	1	USP31	
CEP104	1	CEP104	
CLTC	1	CLTC	
ATP6V1C1	1	ATP6V1C1	
PSMA1	1	PSMA1	
PIK3R4	1	PIK3R4	
SYT5	1	SYT5	
COMMD9	1	COMMD9	
KBTBD7	1	KBTBD7	
SRP68	1	SRP68	
FAM184A	1	FAM184A	
ACSL4	1	ACSL4	
C1QC	1	C1QC	
PTCH2	1	PTCH2	
DOC2B	1	DOC2B	
CPEB1-AS1	1	CPEB1-AS1	
SLC35C1	1	SLC35C1	
RAP2C	1	RAP2C	
TAPT1	1	TAPT1	
PNMA8A	1	PNMA8A	
PDP1	1	PDP1	
PLPP1	1	PLPP1	
PRKACA	1	PRKACA	
EMC2	1	EMC2	
ATP11C	1	ATP11C	
SLC26A1	1	SLC26A1	
TBCC	1	TBCC	
G3BP2	1	G3BP2	
WDFY3	1	WDFY3	
DFFB	1	DFFB	
PPID	1	PPID	
LINC00839	1	LINC00839	
APC2	1	APC2	
REEP5	1	REEP5	
MAST2	1	MAST2	
FIG4	1	FIG4	
NCL	1	NCL	
CCSER1	1	CCSER1	
LRFN1	1	LRFN1	
TUBD1	1	TUBD1	
PAK3	1	PAK3	
MAPK1	1	MAPK1	
GPD1L	1	GPD1L	
OLA1	1	OLA1	
TCEAL8	1	TCEAL8	
NSF	1	NSF	
TMEM31	1	TMEM31	
GMPS	1	GMPS	
ZNF483	1	ZNF483	
ATAD5	1	ATAD5	
NDUFAF7	1	NDUFAF7	
USP5	1	USP5	
CHN1	1	CHN1	
GTF2F2	1	GTF2F2	
AP4B1	1	AP4B1	
FSD1L	1	FSD1L	
CDK12	1	CDK12	
TAL1	1	TAL1	
RBM6	1	RBM6	
TRAF2	1	TRAF2	
ASMTL	1	ASMTL	
LRCH2	1	LRCH2	
TBC1D8B	1	TBC1D8B	
FXR1	1	FXR1	
TMEM179	1	TMEM179	
ZMAT3	1	ZMAT3	
DCAF10	1	DCAF10	
STXBP5L	1	STXBP5L	
COL9A3	1	COL9A3	
KLHL2	1	KLHL2	
SGPP1	1	SGPP1	
LETM2	1	LETM2	
POP7	1	POP7	
ST3GAL3	1	ST3GAL3	
SSTR3	1	SSTR3	
TAX1BP1	1	TAX1BP1	
ATP7A	1	ATP7A	
TMEM255A	1	TMEM255A	
LRCH1	1	LRCH1	
LRP8	1	LRP8	
FADS1	1	FADS1	
ACOT8	1	ACOT8	
ALG8	1	ALG8	
TMLHE	1	TMLHE	
HYCC2	1	FAM126B	
DUSP15	1	DUSP15	
ANKRD26	1	ANKRD26	
ARID4A	1	ARID4A	
YIPF5	1	YIPF5	
CBX7	1	CBX7	
HDAC5	1	HDAC5	
TPM3	1	TPM3	
JAZF1	1	JAZF1	
SNX12	1	SNX12	
EML1	1	EML1	
PCBP1-AS1	1	PCBP1-AS1	
ARHGAP12	1	ARHGAP12	
MZT2B	1	MZT2B	
IFFO2	1	IFFO2	
DNAH14	1	DNAH14	
WDR55	1	WDR55	
CEP70	1	CEP70	
SAP130	1	SAP130	
AIFM1	1	AIFM1	
CAMSAP1	1	CAMSAP1	
NSMCE3	1	NSMCE3	
PRR18	1	PRR18	
DHX58	1	DHX58	
KLHL35	1	KLHL35	
MYH14	1	MYH14	
CELSR3	1	CELSR3	
C1GALT1	1	C1GALT1	
RANGAP1	1	RANGAP1	
CASTOR2	1	CASTOR2	
TBC1D19	1	TBC1D19	
NKAP	1	NKAP	
SNHG10	1	SNHG10	
GPATCH4	1	GPATCH4	
CDK2AP1	1	CDK2AP1	
CXCL14	1	CXCL14	
ZNF710	1	ZNF710	
PAWR	1	PAWR	
FAM171A2	1	FAM171A2	
METTL18	1	METTL18	
TMEM271	1	TMEM271	
TNPO2	1	TNPO2	
NDUFAB1	1	NDUFAB1	
DIDO1	1	DIDO1	
KLC4	1	KLC4	
ZNF783	1	ZNF783	
OGFRL1	1	OGFRL1	
NPW	1	NPW	
GPR158	1	GPR158	
COL5A3	1	COL5A3	
TBC1D9B	1	TBC1D9B	
DMTN	1	DMTN	
C12orf76	1	C12orf76	
TAFA5	1	TAFA5	
SLC41A3	1	SLC41A3	
AP3B1	1	AP3B1	
ZFP2	1	ZFP2	
MMP16	1	MMP16	
RCHY1	1	RCHY1	
CKS1B	1	CKS1B	
THNSL1	1	THNSL1	
DNAJC13	1	DNAJC13	
GUF1	1	GUF1	
PLEKHJ1	1	PLEKHJ1	
GPATCH2	1	GPATCH2	
RNF115	1	RNF115	
ZC3H14	1	ZC3H14	
TMEM187	1	TMEM187	
ZNF148	1	ZNF148	
CFAP210	1	CCDC173	
AS3MT	1	AS3MT	
PRKACB	1	PRKACB	
STAT1	1	STAT1	
AGPS	1	AGPS	
C2orf72	1	C2orf72	
CACUL1	1	CACUL1	
GABPB1-AS1	1	GABPB1-AS1	
TAGLN3	1	TAGLN3	
HSPA8	1	HSPA8	
DNAJB6	1	DNAJB6	
ING4	1	ING4	
AP1S1	1	AP1S1	
SERINC3	1	SERINC3	
RNF38	1	RNF38	
L3MBTL3	1	L3MBTL3	
OXSR1	1	OXSR1	
ARID1A	1	ARID1A	
EXOG	1	EXOG	
MSRB3	1	MSRB3	
SMPD3	1	SMPD3	
OSBPL1A	1	OSBPL1A	
SPECC1	1	SPECC1	
LINC00672	1	LINC00672	
ZNF676	1	ZNF676	
TEFM	1	TEFM	
GPR162	1	GPR162	
SORL1	1	SORL1	
MAGED2	1	MAGED2	
SSBP3	1	SSBP3	
SLC25A30	1	SLC25A30	
GFM2	1	GFM2	
BACE1	1	BACE1	
SFXN1	1	SFXN1	
CDH2	1	CDH2	
EBLN3P	1	EBLN3P	
CIB2	1	CIB2	
BCAP29	1	BCAP29	
DHX34	1	DHX34	
FBXO33	1	FBXO33	
CISD1	1	CISD1	
DNAAF10	1	WDR92	
TRMT6	1	TRMT6	
TRIM27	1	TRIM27	
RELT	1	RELT	
ARID4B	1	ARID4B	
MARF1	1	MARF1	
ZNF654	1	ZNF654	
PACSIN1	1	PACSIN1	
FYB1	1	FYB1	
TMEM107	1	TMEM107	
MAP2K6	1	MAP2K6	
NR2F6	1	NR2F6	
NELFB	1	NELFB	
TMOD2	1	TMOD2	
AATK	1	AATK	
PER3	1	PER3	
AHI1	1	AHI1	
ATP5ME	1	ATP5ME	
CCT2	1	CCT2	
LINC01004	1	LINC01004	
SEC31B	1	SEC31B	
MTA3	1	MTA3	
RC3H2	1	RC3H2	
RNF14	1	RNF14	
TRPC1	1	TRPC1	
NSFL1C	1	NSFL1C	
RNF146	1	RNF146	
ZNF704	1	ZNF704	
CIPC	1	CIPC	
PWWP2B	1	PWWP2B	
TRIM39	1	TRIM39	
SUCLG1	1	SUCLG1	
LHFPL2	1	LHFPL2	
PDS5A	1	PDS5A	
FLAD1	1	FLAD1	
SRRD	1	SRRD	
ARMC8	1	ARMC8	
NRDC	1	NRDC	
SHF	1	SHF	
SV2A	1	SV2A	
ZNF431	1	ZNF431	
MFN1	1	MFN1	
RLIM	1	RLIM	
KCTD10	1	KCTD10	
FYTTD1	1	FYTTD1	
MTUS1	1	MTUS1	
ARHGEF40	1	ARHGEF40	
RAB40B	1	RAB40B	
LINC01140	1	LINC01140	
SPATA7	1	SPATA7	
MADD	1	MADD	
ALAD	1	ALAD	
MOSPD2	1	MOSPD2	
TBC1D10B	1	TBC1D10B	
ZC3H12C	1	ZC3H12C	
NPIPA3	1	NPIPA3	
LLPH	1	LLPH	
FAM219A	1	FAM219A	
ZNF83	1	ZNF83	
KTI12	1	KTI12	
LINC01703	1	LINC01703	
NDRG1	1	NDRG1	
ERICH5	1	ERICH5	
OTUD5	1	OTUD5	
TMEM60	1	TMEM60	
TIPRL	1	TIPRL	
ZNF319	1	ZNF319	
SUPT7L	1	SUPT7L	
HDHD3	1	HDHD3	
MSL3	1	MSL3	
NCAN	1	NCAN	
LGI1	1	LGI1	
HEBP2	1	HEBP2	
SLC25A12	1	SLC25A12	
CDK2AP2	1	CDK2AP2	
MAFK	1	MAFK	
TIAM1	1	TIAM1	
FRMPD2	1	FRMPD2	
DCX	1	DCX	
ZNF610	1	ZNF610	
ILF3-DT	1	ILF3-DT	
ATPAF1	1	ATPAF1	
COX6B1	1	COX6B1	
SENP5	1	SENP5	
GRIA4	1	GRIA4	
BMP2K	1	BMP2K	
BUB3	1	BUB3	
ZNF680	1	ZNF680	
ADCY5	1	ADCY5	
DNAJC9	1	DNAJC9	
NBL1	1	NBL1	
CMTM4	1	CMTM4	
IL34	1	IL34	
CREM	1	CREM	
PARP16	1	PARP16	
MHENCR	1	MHENCR	
JRKL	1	JRKL	
NRBF2	1	NRBF2	
WDR53	1	WDR53	
GOLGA4	1	GOLGA4	
ZNF707	1	ZNF707	
LYAR	1	LYAR	
SNORC	1	SNORC	
CPNE4	1	CPNE4	
YWHAZ	1	YWHAZ	
ZFC3H1	1	ZFC3H1	
BLTP1	1	KIAA1109	
UTP25	1	UTP25	
TRAPPC6B	1	TRAPPC6B	
LYST	1	LYST	
PSMB1	1	PSMB1	
ATG4A	1	ATG4A	
DCTN5	1	DCTN5	
KANK4	1	KANK4	
UBE2M	1	UBE2M	
ZFAND4	1	ZFAND4	
CDH9	1	CDH9	
RAD51D	1	RAD51D	
NDUFAF5	1	NDUFAF5	
STX1B	1	STX1B	
SRD5A3	1	SRD5A3	
RIC1	1	RIC1	
DDA1	1	DDA1	
SCN3B	1	SCN3B	
SH3BGRL2	1	SH3BGRL2	
ECI2	1	ECI2	
POLK	1	POLK	
CITED4	1	CITED4	
UBE2Q2	1	UBE2Q2	
ZNF57	1	ZNF57	
GTF2E2	1	GTF2E2	
PSMD2	1	PSMD2	
ASH2L	1	ASH2L	
LYRM9	1	LYRM9	
TMED8	1	TMED8	
NKAIN1	1	NKAIN1	
ZNF461	1	ZNF461	
TPGS2	1	TPGS2	
ABCA10	1	ABCA10	
NNT-AS1	1	NNT-AS1	
NDUFB2	1	NDUFB2	
SLC2A8	1	SLC2A8	
OGFR	1	OGFR	
RNF208	1	RNF208	
CCNB1	1	CCNB1	
FRMD4A	1	FRMD4A	
AP1S3	1	AP1S3	
GAA	1	GAA	
CLEC16A	1	CLEC16A	
MMAA	1	MMAA	
TDRD3	1	TDRD3	
ZNF331	1	ZNF331	
SEPTIN3	1	SEPTIN3	
CNOT7	1	CNOT7	
FGFR1	1	FGFR1	
BEX2	1	BEX2	
CLEC7A	1	CLEC7A	
ADGRL3	1	ADGRL3	
COPRS	1	COPRS	
SLC38A6	1	SLC38A6	
ACVR1	1	ACVR1	
IDE	1	IDE	
C4orf36	1	C4orf36	
KLHDC10	1	KLHDC10	
LIPT2	1	LIPT2	
PHF20L1	1	PHF20L1	
AGPAT1	1	AGPAT1	
ZC3H13	1	ZC3H13	
TCF3	1	TCF3	
LRRC4C	1	LRRC4C	
ST3GAL2	1	ST3GAL2	
DVL3	1	DVL3	
GAPVD1	1	GAPVD1	
ERICH3	1	ERICH3	
ZNF420	1	ZNF420	
C20orf204	1	C20orf204	
MGST2	1	MGST2	
EXTL2	1	EXTL2	
KRI1	1	KRI1	
RNF182	1	RNF182	
TMC2	1	TMC2	
ZC3H12B	1	ZC3H12B	
DTX3L	1	DTX3L	
GSG1L	1	GSG1L	
SLC37A3	1	SLC37A3	
MCM4	1	MCM4	
RCE1	1	RCE1	
NKX2-2	1	NKX2-2	
ZNF124	1	ZNF124	
CDC25B	1	CDC25B	
VTI1B	1	VTI1B	
SETDB2	1	SETDB2	
POLR3A	1	POLR3A	
WNT5A	1	WNT5A	
PIGK	1	PIGK	
EZH1	1	EZH1	
LINC02881	1	C10orf142	
TADA2A	1	TADA2A	
NFIA-AS2	1	NFIA-AS2	
RNF19B	1	RNF19B	
ZBTB40	1	ZBTB40	
RAB39B	1	RAB39B	
GATC	1	GATC	
VPS26A	1	VPS26A	
TTN-AS1	1	TTN-AS1	
EPB41L1	1	EPB41L1	
ZEB1	1	ZEB1	
GOLGA8B	1	GOLGA8B	
THOC7	1	THOC7	
PANX2	1	PANX2	
BAIAP2-DT	1	BAIAP2-DT	
DRG1	1	DRG1	
CALY	1	CALY	
TRIM2	1	TRIM2	
CTSZ	1	CTSZ	
DMAC2L	1	DMAC2L	
PDE8B	1	PDE8B	
ZNF587B	1	ZNF587B	
RIGI	1	DDX58	
CDRT4	1	CDRT4	
PRR12	1	PRR12	
ATP6V0E2	1	ATP6V0E2	
PLCG1	1	PLCG1	
ATOSB	1	FAM214B	
DESI1	1	DESI1	
PET100	1	PET100	
RAB15	1	RAB15	
LINC02649	1	LINC02649	
MTMR4	1	MTMR4	
TRIM16L	1	TRIM16L	
DDHD2	1	DDHD2	
PARP2	1	PARP2	
NMT1	1	NMT1	
PRPF4B	1	PRPF4B	
TAB3	1	TAB3	
SMIM10L2A	1	SMIM10L2A	
EPDR1	1	EPDR1	
CNTROB	1	CNTROB	
SLC6A12	1	SLC6A12	
DYNLL2	1	DYNLL2	
FARS2	1	FARS2	
SYMPK	1	SYMPK	
YES1	1	YES1	
SORCS1	1	SORCS1	
C2CD5	1	C2CD5	
CCSAP	1	CCSAP	
ZNF518B	1	ZNF518B	
CCDC51	1	CCDC51	
TUBA1B	1	TUBA1B	
TMEM130	1	TMEM130	
RNF8	1	RNF8	
SIAH3	1	SIAH3	
CCDC85C	1	CCDC85C	
COA3	1	COA3	
ISYNA1	1	ISYNA1	
CAMKK2	1	CAMKK2	
ZBTB38	1	ZBTB38	
NTM	1	NTM	
PRRT3-AS1	1	PRRT3-AS1	
ABHD13	1	ABHD13	
NAA15	1	NAA15	
RRP12	1	RRP12	
PDPK1	1	PDPK1	
MTRF1	1	MTRF1	
RPGRIP1L	1	RPGRIP1L	
C2CD4C	1	C2CD4C	
PPP3CB	1	PPP3CB	
KLHDC2	1	KLHDC2	
MRPS27	1	MRPS27	
RAC3	1	RAC3	
ZNF304	1	ZNF304	
EIF2B3	1	EIF2B3	
PIP4K2B	1	PIP4K2B	
BCL7C	1	BCL7C	
LIPE-AS1	1	LIPE-AS1	
TNPO3	1	TNPO3	
DGCR2	1	DGCR2	
TECPR2	1	TECPR2	
ARSG	1	ARSG	
FOXJ2	1	FOXJ2	
NRG4	1	NRG4	
HMX3	1	HMX3	
CHCHD4	1	CHCHD4	
LMO3	1	LMO3	
PUM3	1	PUM3	
RAB1A	1	RAB1A	
RBM18	1	RBM18	
LMTK3	1	LMTK3	
RUFY3	1	RUFY3	
LUC7L3	1	LUC7L3	
FHL3	1	FHL3	
EIF1B	1	EIF1B	
NAA35	1	NAA35	
PHTF2	1	PHTF2	
MZT1	1	MZT1	
FAM20B	1	FAM20B	
ZNF470	1	ZNF470	
RAB24	1	RAB24	
ZBTB4	1	ZBTB4	
ATP6V0B	1	ATP6V0B	
ZW10	1	ZW10	
RSRC2	1	RSRC2	
C12orf43	1	C12orf43	
KRBA1	1	KRBA1	
CYP2R1	1	CYP2R1	
ZDHHC2	1	ZDHHC2	
SRGAP2C	1	SRGAP2C	
ATG16L2	1	ATG16L2	
SIK2	1	SIK2	
DNAL4	1	DNAL4	
ARPP19	1	ARPP19	
LACTB	1	LACTB	
EYA3	1	EYA3	
SLK	1	SLK	
MTHFS	1	MTHFS	
TRIM8	1	TRIM8	
DZIP3	1	DZIP3	
ZNF445	1	ZNF445	
MDM2	1	MDM2	
PIPOX	1	PIPOX	
TTLL7	1	TTLL7	
LINC01355	1	LINC01355	
SCAPER	1	SCAPER	
TAF13	1	TAF13	
NBPF12	1	NBPF12	
C19orf44	1	C19orf44	
SMIM10L1	1	SMIM10L1	
MON1A	1	MON1A	
OGDH	1	OGDH	
ZNF510	1	ZNF510	
PGM1	1	PGM1	
RNF214	1	RNF214	
AIDA	1	AIDA	
SCLY	1	SCLY	
ZNF266	1	ZNF266	
PGBD5	1	PGBD5	
NGLY1	1	NGLY1	
HDAC2	1	HDAC2	
TCEAL5	1	TCEAL5	
NCBP2AS2	1	NCBP2AS2	
PRPSAP1	1	PRPSAP1	
ZNF879	1	ZNF879	
RGL1	1	RGL1	
HYAL3	1	HYAL3	
UBE2V1	1	UBE2V1	
ANKDD1A	1	ANKDD1A	
RGS6	1	RGS6	
C12orf4	1	C12orf4	
ALG2	1	ALG2	
NMNAT3	1	NMNAT3	
FGGY	1	FGGY	
AOC2	1	AOC2	
VMA21	1	VMA21	
DLG4	1	DLG4	
LRRC49	1	LRRC49	
HPS3	1	HPS3	
