NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GPR179	1	GPR179	
TTC9	1	TTC9	
GOLGA6L10	1	GOLGA6L10	
CABP1-DT	1	AC125616.1	
EVI2A	1	EVI2A	
ZDHHC23	1	ZDHHC23	
ZC3H12D	1	ZC3H12D	
KCNQ3	1	KCNQ3	
CPB2-AS1	1	CPB2-AS1	
GUCY1A2	1	GUCY1A2	
DGKH	1	DGKH	
LINC01569	1	LINC01569	
SOGA3	1	SOGA3	
MOV10L1	1	MOV10L1	
LRRTM4	1	LRRTM4	
LINC02458	1	LINC02458	
SOX11	1	SOX11	
RNF152	1	RNF152	
PCED1B	1	PCED1B	
CD53	1	CD53	
PLCE1	1	PLCE1	
ZNF385B	1	ZNF385B	
ZNF804B	1	ZNF804B	
NYAP2	1	NYAP2	
MDFI	1	MDFI	
RASSF7	1	RASSF7	
NFYC-AS1	1	NFYC-AS1	
SNX22	1	SNX22	
ZNF823	1	ZNF823	
WTIP	1	WTIP	
CX3CR1	1	CX3CR1	
PGF	1	PGF	
CBLN3	1	CBLN3	
SEMA3C	1	SEMA3C	
SUSD2	1	SUSD2	
AMER1	1	AMER1	
CARTPT	1	CARTPT	
ZCWPW2	1	ZCWPW2	
LINC00865	1	LINC00865	
ZNF675	1	ZNF675	
CLEC2L	1	CLEC2L	
LMO7	1	LMO7	
TENT5A	1	TENT5A	
ZNF497	1	ZNF497	
LINC02192	1	LINC02192	
CNTN3	1	CNTN3	
TRPV2	1	TRPV2	
SCO2	1	SCO2	
NPIPA5	1	NPIPA5	
ADAMTS5	1	ADAMTS5	
REL	1	REL	
TAS2R4	1	TAS2R4	
ZNF174	1	ZNF174	
MROCKI	1	LINC01268	
CALHM6	1	CALHM6	
APLF	1	APLF	
GABRB2	1	GABRB2	
LNX1	1	LNX1	
GABRA1	1	GABRA1	
FAM120A2P	1	C9orf129	
CDH8	1	CDH8	
B3GNT7	1	B3GNT7	
GINS3	1	GINS3	
DGKK	1	DGKK	
TAFA4	1	TAFA4	
ECT2	1	ECT2	
HIC2	1	HIC2	
ZNF525	1	ZNF525	
SLC9A5	1	SLC9A5	
PLCXD1	1	PLCXD1	
SPR	1	SPR	
RBFOX1	1	RBFOX1	
INPP5D	1	INPP5D	
GRM3	1	GRM3	
NDUFB2-AS1	1	NDUFB2-AS1	
VSNL1	1	VSNL1	
SLC22A18	1	SLC22A18	
CKMT1B	1	CKMT1B	
ANKRD34C	1	ANKRD34C	
GRIP1	1	GRIP1	
FGF11	1	FGF11	
P2RX5	1	P2RX5	
INSYN2B	1	INSYN2B	
VWA5B2	1	VWA5B2	
SOX1	1	SOX1	
C10orf82	1	C10orf82	
ZSCAN2	1	ZSCAN2	
CLEC4A	1	CLEC4A	
HHIP-AS1	1	HHIP-AS1	
DNMT3A	1	DNMT3A	
H19	1	H19	
UNC5C	1	UNC5C	
ABCA6	1	ABCA6	
ESYT3	1	ESYT3	
ZNF552	1	ZNF552	
DPH6-DT	1	DPH6-DT	
ELFN1	1	ELFN1	
IGFN1	1	IGFN1	
FOXP2	1	FOXP2	
MYOM2	1	MYOM2	
VAV2	1	VAV2	
CKMT1A	1	CKMT1A	
ELL2	1	ELL2	
PLPPR1	1	PLPPR1	
RBFOX3	1	RBFOX3	
CAPS2	1	CAPS2	
KCNE5	1	KCNE5	
FAM102B	1	FAM102B	
PDGFD	1	PDGFD	
LRP4-AS1	1	LRP4-AS1	
TPM1	1	TPM1	
KCNK3	1	KCNK3	
SHANK1	1	SHANK1	
TRMT12	1	TRMT12	
PDE4A	1	PDE4A	
GRIN2D	1	GRIN2D	
PHACTR2	1	PHACTR2	
LRRTM1	1	LRRTM1	
FHDC1	1	FHDC1	
SV2B	1	SV2B	
HMX2	1	HMX2	
SFRP1	1	SFRP1	
LINC01616	1	LINC01616	
TTC30B	1	TTC30B	
AIRE	1	AIRE	
TACR1	1	TACR1	
