Barcode,UMAP-1,UMAP-2
aaaaabpd-1,7.178061679141057,3.9702180142482284
aaabkoah-1,3.649112259786443,2.7212176323906756
aaacikgd-1,-5.364500865974191,-5.0860372676872085
aaackjba-1,8.991160353885771,3.9708314454692535
aaahkfma-1,8.687007622750986,3.9601701908826743
aaaigapf-1,6.636929963017658,3.810838564126691
aaajjhek-1,-7.503245418076331,7.168450286064897
aaajlpgc-1,-8.47243206363119,7.020341330105182
aaakghoe-1,8.931398532531745,3.5877305269804394
aaalceef-1,-0.396220382404664,-0.3653115960023708
aaameemf-1,7.9324487628518305,3.327190219292355
aaamodfg-1,7.5813913860215365,4.116515569396109
aaaoklgn-1,8.764094107198877,3.086326716606216
aaaokmcd-1,7.848576384377312,2.7277633415757854
aaaolknj-1,-6.961181973403284,-4.009599636499881
aababign-1,-1.970616010384878,-1.6165536442104027
aabbhjhm-1,-7.029894513525446,-4.9501027533345425
aabclimd-1,-4.254110133380623,-6.95679509038684
aabdfioi-1,-6.858883048862062,-4.066146700304722
aabeofoj-1,-7.711079041478433,7.159039781493933
aabgpbcj-1,-6.7244123331812995,6.854336844348009
aabhoogp-1,1.071765787388464,2.0984281913069096
aabiaico-1,-7.089350956327794,6.777122618121493
aabjooog-1,-6.274874563884947,6.799400573355577
aabkpjil-1,-6.046096479366544,6.523572805047595
aableief-1,8.101065104901142,4.242092055180428
aabmdegj-1,-6.143556180967592,6.551777724363934
aabnobko-1,6.508331581186798,3.9745643876637984
aabohemp-1,-0.4936971154980684,-0.06496464089174521
aaboiafh-1,8.729310389506919,4.120333175442208
aabolcii-1,7.886759377849057,3.472281788053995
aabpeclo-1,-1.7925266868525702,-1.883373938952595
aabpopga-1,3.1134086102991105,2.3579246331014145
aacdpbpa-1,7.790183144566759,3.839919419154172
aaceijbn-1,1.1491420763903284,2.5280367100050416
aaceikhc-1,-6.915553872120422,6.942593954343589
aacgejap-1,-5.499571991635778,6.405258236524679
aacgpkki-1,8.503386870811083,3.6214565168001274
aachjhdi-1,6.348048631607266,4.040075860424799
aacilebk-1,-7.405280526133504,6.31514503492165
aacjggkg-1,0.9660990348370294,-1.3034912848718823
aaclbppp-1,8.221950114805907,4.0858011013009
aacncbdd-1,-6.425966418336236,6.586015628071414
aacpdkho-1,1.0683924797076951,2.309452568919401
aacpjkmc-1,7.589321891485615,3.8105881016781344
aacpmkcl-1,-8.360260274992955,6.789776406701001
aadagmgj-1,0.6479139837404728,-1.1130722501788242
aadcmnhe-1,-7.524733820593978,6.543084430983627
aadfcfci-1,-6.144952260609503,5.717132158886785
aadgdgpm-1,-7.227799713598167,7.021519378355594
aadhcibi-1,-8.633751788814557,6.849617602184981
aadhnnok-1,-8.014566651727494,6.465121948170881
aadkepcp-1,2.1103917422632392,0.9166837623533417
aadkkggi-1,-3.7189244028643613,-7.777298431409269
aadkoknb-1,7.324598396969689,3.5429970828449138
aadlakii-1,-8.12729516178127,7.221022561056956
aadmalpg-1,4.358898745700887,3.0018998600690563
aadnkacc-1,-5.92564186003511,6.118179338568366
aadocpka-1,2.448505362715522,2.3272552463192975
aadofjjc-1,-7.034717717852128,6.838344813975716
aaeaafgc-1,1.4303488479410724,2.0069839186680607
aaeffhki-1,-4.920598733109668,-6.588790814883252
aaefjgdp-1,-7.584130471215693,6.800522762748925
aaehkkdl-1,1.19389076064739,-0.5752930332796953
aaeiicld-1,7.184607952670272,3.487260491618244
aaeijlki-1,-7.067295473113996,6.839413012429472
aaejdnlo-1,-8.506984786730971,7.03042790562694
aaejfbdk-1,1.0020597407675438,-1.098612511489971
aaekapkh-1,8.807778428387225,3.336920657990103
aaekekhf-1,8.739233918500766,3.6177798913377393
aaekhnkn-1,8.526337837300915,3.7930409570887598
aaemaedd-1,8.404558076952293,3.6766874229985858
aaemmdcp-1,8.805358516510012,3.8587050782081715
aaepamlc-1,-5.5265197431884765,6.079319221121084
aafalakb-1,5.789341986388847,3.150921286208189
aafbbdif-1,7.949859360879002,3.6096901767534453
aafbkiim-1,8.909778857134192,3.4116181994922337
aafcagnm-1,1.482341787815379,1.7741388509816705
aafdhmhl-1,-6.125617233499532,-5.173694653704519
aafdppmn-1,7.35783541159366,3.700180299338843
aafeeoop-1,8.18589128104687,3.9824670295883333
aafgfgik-1,-5.263433479576909,-4.976254823553803
aafhimli-1,-7.751704910306922,6.8453936645122475
aafkclfc-1,7.89003696065935,3.2944392775803166
aafkfmdl-1,1.7693568021638582,1.5794825995956363
aafkjbnl-1,3.4989049267750074,2.5869498652109764
aafkkmfe-1,-6.043826200830568,5.87996231043748
aafleafl-1,8.968485540503075,3.175410320886215
aaflgggd-1,6.265015911220839,2.8703046603836375
aaflobfm-1,3.97689876890503,2.4967297218512106
aafmbhga-1,-5.896607679714619,-5.504850831503572
aafnalnj-1,7.867222328133548,4.130041740370857
aafnbdbg-1,7.405978820912919,3.893861974406472
aafnchld-1,8.15042916940424,3.8774136920737554
aagafcpj-1,7.348625031129947,3.3521343581157055
aagbijgm-1,3.31581504678729,2.8158427285646845
aagbljgk-1,2.099036407655005,2.142793123560124
aagdclab-1,8.643671089595724,3.4509543286117697
aagfeaeh-1,1.7988017145666366,2.6556411009340786
aagfipce-1,7.175199314750884,3.7542218391817705
aagfmepf-1,3.2695344972440807,2.212463261869726
aaggbkbj-1,2.6093397700908234,2.124495384234655
aaggcbok-1,6.8856265172237885,3.2610853493596945
aagggmhf-1,3.042574929373798,2.132737319622764
aaggogdn-1,7.506051198480539,3.7656809384424923
aaghamdg-1,3.8547929204930353,2.574468326903278
aaghdgih-1,5.6762964133547875,3.1235943823391983
aagigobj-1,7.102991004757263,3.5838644770555876
aagjefdl-1,8.508621689949395,3.458679288950123
aagkheee-1,6.13940979873393,3.4048885162928513
