Barcode,Cluster
aaogppan-1,2
aaohnael-1,2
aaoibaad-1,1
aaojpcdj-1,2
aaomcndf-1,1
aaomohdp-1,1
aaonblff-1,2
aaonegno-1,3
aaoneogb-1,1
aaongpfn-1,1
aapamino-1,3
aapbfdhp-1,1
aapbggei-1,1
aapcgmgg-1,2
aapdgckd-1,1
aapdkmpc-1,2
aapdnekn-1,3
aapdngaj-1,1
aapeabce-1,2
aapedjfn-1,1
aapfbcpk-1,2
aapflkhb-1,2
aapiobod-1,3
aapjdjcc-1,2
aapjegjb-1,2
aapjidid-1,2
aaplgfmk-1,1
aaplmhcn-1,1
aapongej-1,1
aappdlao-1,3
ababdacl-1,2
ababjjfo-1,2
ababnpgo-1,3
ababolhl-1,3
abachhld-1,1
abadacig-1,2
abafinml-1,2
abaghnah-1,3
abagoenb-1,2
abahpmgg-1,2
abaiaogl-1,2
abakemie-1,3
abakfaho-1,2
abalfofl-1,2
abamkmda-1,3
abanfpje-1,3
abanppkk-1,2
abaofgki-1,1
abapfbal-1,1
abbaaglg-1,2
abbapdgc-1,1
abbbamgk-1,3
abbbcifi-1,3
abbbmamj-1,2
abbeaodj-1,2
abbelncn-1,1
abbfepig-1,3
abbgjdeo-1,2
abbhcegp-1,3
abbhefkl-1,2
abbkdgfm-1,2
abblaiej-1,2
abblanoj-1,2
abblfipn-1,2
abblkecj-1,1
abbllokl-1,2
abbmblcb-1,2
abbmdnfk-1,1
abbpinai-1,1
abcajolc-1,2
abcckjjk-1,2
abccpglh-1,1
abcebhom-1,3
abcefmkn-1,3
abcfkhig-1,3
abcfmebn-1,2
abcgdbba-1,1
abcgjioe-1,2
abcjecjl-1,2
abckabdc-1,2
abckihlc-1,2
abckmdbj-1,1
abclhaep-1,1
abclmelb-1,2
abcmejig-1,2
abcndjjg-1,2
abcnfifc-1,2
abcnlijb-1,1
abcnnifb-1,1
abcoapga-1,2
abcohfjp-1,2
abdbedji-1,3
abdbgdcl-1,1
abdbleaa-1,2
abdeakej-1,2
abdgblfa-1,1
abdhogod-1,2
abdicnmm-1,2
abdikhjk-1,2
abdjphai-1,1
abdjpjhe-1,2
abdkidha-1,3
abdmbpnb-1,2
abdokeki-1,1
abdonchm-1,2
abdpnmjn-1,1
abeaajik-1,1
abeanbci-1,1
abeapaip-1,1
abebbpnp-1,1
abeccpho-1,1
abechoio-1,2
abedcgpp-1,2
abedfaof-1,1
abedichi-1,3
abeeialf-1,1
abeejnfm-1,3
abeeooin-1,2
abegfkhe-1,2
abehiikk-1,3
abehnkgl-1,2
abeigpbo-1,3
abeikakf-1,1
abejghgd-1,1
abekgpoo-1,2
abekklfm-1,3
abekmdnm-1,3
abemcmdm-1,3
abeocpec-1,1
abeoejhg-1,1
abeollnn-1,1
abepjgcm-1,2
abfaejog-1,2
abfaojap-1,2
abfbaelc-1,1
abfciaid-1,1
abfcnpif-1,2
abfebnlm-1,2
abfeopcg-1,2
abffdfea-1,1
abffdfkh-1,1
abfhieii-1,1
abfhkdoe-1,2
abfincdp-1,3
abfjkjmo-1,1
abfknbbp-1,1
abfkphkp-1,3
abflpkno-1,1
abfnkljm-1,1
abfoglhi-1,1
abfonekb-1,1
abfpiphj-1,2
abgadlbp-1,1
abgcbllj-1,1
abgdjeji-1,1
abgdpdlm-1,2
abggipgg-1,1
abggnekj-1,1
abghcbig-1,1
abghejko-1,1
abghimge-1,2
abgidgni-1,1
abgieebj-1,1
abgimfnc-1,2
abgkfggn-1,3
abgkicof-1,1
abglmlej-1,1
abgmhnck-1,1
abgnjbjp-1,1
abgonagl-1,3
abhbehjl-1,2
abhbeifa-1,1
abhdiggl-1,2
abhdiifa-1,3
abheceej-1,1
abhelong-1,1
abheoebc-1,2
abhfacmo-1,2
abhfdoco-1,1
abhibgji-1,2
abhiiloo-1,1
abhknffp-1,1
abhmaefp-1,1
abhmbcab-1,2
