Barcode,Cluster
aaaagnna-1,3
aaabbgah-1,3
aaabefig-1,3
aaackkai-1,2
aaadoljm-1,2
aaaekhef-1,3
aaaelmic-1,3
aaafokhf-1,3
aaagbkla-1,3
aaagijdi-1,3
aaahafej-1,3
aaahfnig-1,3
aaajmnnd-1,6
aaakhmhk-1,3
aaakpjkl-1,3
aaakppco-1,3
aaalbjgb-1,3
aaallfok-1,3
aaanibdd-1,2
aaanmknd-1,3
aaaodfmi-1,3
aaaopimg-1,3
aaaphbgn-1,3
aabaanjn-1,3
aabaebod-1,3
aabahipm-1,3
aabahkpa-1,3
aabbiiok-1,4
aabcdhlp-1,6
aabfobnd-1,4
aabgkajo-1,4
aabhdlch-1,4
aabknlhl-1,6
aablafba-1,6
aabmhell-1,4
aabmkcpl-1,4
aabmokgc-1,4
aabnmamf-1,6
aabnnjnf-1,6
aaboebli-1,6
aaboehbb-1,4
aaboendh-1,4
aaboggoo-1,6
aabpaeag-1,6
aabpiggk-1,6
aabpjfcc-1,6
aabpjomi-1,6
aabplpcl-1,4
aacaadah-1,5
aacabchn-1,4
aacaiihj-1,4
aacakbdo-1,4
aacakmbc-1,6
aacbaelc-1,4
aacbgldc-1,3
aacbilgm-1,4
aacblnig-1,4
aaccanfj-1,6
aacdphoe-1,4
aacejenn-1,6
aacejmen-1,6
aacempne-1,4
aacepiln-1,4
aacepldl-1,4
aacficjj-1,5
aacgfnkm-1,5
aacgkhga-1,6
aacgllkm-1,2
aachfhnj-1,3
aachillg-1,3
aaciecol-1,3
aacjeebn-1,4
aackbjla-1,3
aackhjck-1,3
aackiaig-1,3
aackllgd-1,3
aackndle-1,3
aaclioia-1,6
aaclmeco-1,3
aacnhdoe-1,3
aacnpmla-1,3
aacoonep-1,3
aacpeoah-1,3
aacpllia-1,3
aadaedgh-1,3
aadbfeih-1,3
aadcalmj-1,4
aadchkgh-1,6
aadegbjh-1,4
aadejcko-1,4
aadfagai-1,3
aadfmkkg-1,4
aadginnj-1,6
aadhniab-1,3
aadhnmle-1,6
aadiagkp-1,6
aadieoph-1,3
aadilamm-1,6
aadjajio-1,6
aadjhipp-1,3
aadjnkdm-1,3
aadkhgen-1,4
aadkllmh-1,3
aadkmpcc-1,3
aadmgjdn-1,3
aadmpcgj-1,3
aadnnbin-1,3
aadonhhn-1,3
aadppjcl-1,3
aaeamggi-1,3
aaedkakl-1,3
aaedkbdd-1,3
aaedojjm-1,3
aaeffcch-1,3
aaeffhce-1,3
aaefmnoe-1,3
aaegoadj-1,3
aaehbcnm-1,3
aaehhnjp-1,3
aaehlgbh-1,3
aaejbpkk-1,1
aaejogic-1,3
aaekaadd-1,2
aaekamij-1,3
aaekhalg-1,4
aaemchef-1,3
aaemglkc-1,2
aaemifdj-1,3
aaenbpac-1,3
aaeohdoe-1,2
aaepiiop-1,3
