Barcode,UMAP-1,UMAP-2
aaaabcbm-1,2.6800541103633893,-2.2872959934602206
aaabkghi-1,-2.153670583752343,-0.6756021439479759
aaabllin-1,2.508882349313654,-6.930533507513518
aaacmlpg-1,2.5189808213171476,-1.776463605331591
aaadpifm-1,8.360254819778545,2.1791523424531167
aaaefffi-1,2.6758695566473008,-0.6212003761929392
aaafhlbh-1,1.2090480365956224,-1.9430441953866653
aaaganke-1,2.699840677989684,-2.5350849743482406
aaagheon-1,2.5605080674004337,-2.588605888392801
aaajnmpn-1,2.6458620690902945,-6.747304900128936
aaakkfbm-1,5.3144214539445205,8.15724648438685
aaalhhcc-1,4.186839133144025,-5.630113648128948
aaamhcli-1,4.124939218763335,-2.177125409828757
aaankcdn-1,4.309972496468191,-1.50999541346884
aaaoomdh-1,3.558360358085359,-1.4662051985636968
aaapapkm-1,3.4362008388850858,-1.1928530039122642
aaapoipc-1,4.635571553925074,-2.3894378080177683
aabboaij-1,8.293248382672484,1.526552600034728
aabcdbnj-1,5.62776961196309,-1.6488782742474581
aabcoeeo-1,8.129124340362331,1.698498635588709
aabeheeo-1,4.900219761670181,7.862461352515721
aabeioea-1,4.260959502855703,-5.3462980733660315
aabgpacl-1,8.611548321731942,1.1355120491616033
aabhamlk-1,8.689058380193638,0.39820970471951705
aabjecfm-1,8.507686741091023,0.9130935285521663
aabjialg-1,8.809961806083802,1.9929471178163265
aabjmaim-1,7.124102489434653,-0.5745150202850954
aablnmhg-1,8.466727234476272,2.1165019384964787
aablphnd-1,3.501582235828927,-6.451901067041532
aabnpmkb-1,2.008525622236646,-6.717116054963624
aabobedc-1,3.30160509428413,-1.5025237758289267
aaboghag-1,7.897349376027834,1.4825353294592916
aabooglh-1,5.211073587762501,9.748075573111851
aabpcccb-1,3.2548455803095178,-1.1644771979399113
aabpepna-1,5.364182174412263,8.661857253593707
aacbkipe-1,4.4319216793680605,8.357191132618482
aacbmmap-1,5.064399327316619,9.317406099369057
aacbpbcp-1,5.3498452678997905,8.413534212659332
aaccjffj-1,3.0460757717141536,-3.9853693538564943
aaccjlap-1,6.397218577024454,0.3925163500392627
aacdfgda-1,5.16660010362589,8.299800392781266
aacfcacm-1,3.6897215565443235,-2.0039703949942957
aacjikki-1,3.2896582576340423,-1.038690691603297
aacjmkjn-1,8.183348129610456,2.285442215777171
aacjmnhc-1,4.363643968035996,-4.875703742227458
aacjnpng-1,8.30939081719269,1.4761859718436048
aaclkibj-1,3.1141955296144785,-5.443802309210577
