Barcode,Cluster
aaaaiadp-1,1
aaaaimep-1,2
aaabodeg-1,2
aaaboefi-1,1
aaadkabe-1,7
aaaehfpj-1,1
aaaemoii-1,5
aaaenaph-1,5
aaafbnlp-1,4
aaaganmc-1,5
aaahimpg-1,5
aaaibpbi-1,5
aaaiiacl-1,5
aaaipkgo-1,5
aaajpijo-1,5
aaakcicg-1,5
aaakpbel-1,5
aaalojhk-1,5
aaamkahm-1,5
aaampecf-1,5
aaanjllb-1,5
aaaofgpj-1,1
aaapbbap-1,5
aabbiomg-1,5
aabbmgde-1,5
aabcdind-1,5
aabcfcib-1,5
aabddiog-1,5
aabfkgah-1,5
aabhdcgg-1,5
aabifjpg-1,5
aabiohjm-1,5
aabjakfd-1,5
aabjdbda-1,5
aabmhkoh-1,1
aabmiidl-1,1
aabmjgdc-1,2
aabmlfna-1,5
aabmlmmc-1,5
aabnnlbm-1,5
aabohakh-1,5
aabpphhk-1,7
aacamchp-1,1
aacaondh-1,2
aacapbpl-1,5
aacbkmao-1,4
aacbogpe-1,5
aacbpnif-1,2
aacefeaf-1,2
aacefkph-1,5
aaceibmd-1,7
aacgdpfc-1,2
aacgeedf-1,5
aacglejo-1,2
aaciikcb-1,5
aacjbalh-1,6
aacjedpn-1,5
aacjkpjl-1,7
aacjomjb-1,5
aacknopg-1,5
aacnhhjn-1,2
aacoaodj-1,5
aacoldak-1,5
aacpeach-1,5
aadcpond-1,5
aadegjpl-1,6
aadencfj-1,6
aadfkebk-1,7
aadfkjic-1,2
aadgcogo-1,5
aadhahip-1,2
aadidmop-1,5
aadimmph-1,5
aadjkekb-1,7
aadjpodo-1,5
aadlpjhc-1,5
aadmoapk-1,7
aadnimap-1,2
aadokhdm-1,5
aadpfpjm-1,6
aadpmeok-1,5
aaeaglbn-1,5
aaeaihlh-1,6
aaebkbdk-1,2
aaecipfm-1,4
aaeencgo-1,5
aaefhbkf-1,4
aaeidooh-1,6
aaeiipok-1,7
aaekmcje-1,1
aaenmdhn-1,1
aaenmkhp-1,7
aafaflao-1,4
aafambhj-1,1
aafccgma-1,1
aafdodoa-1,2
aafeeccn-1,1
aafenofc-1,2
aaffbbgl-1,5
aafflhdk-1,4
aafhpigj-1,1
aafieood-1,1
aafiijmn-1,5
aafimkml-1,7
aafkbabc-1,4
aafkchic-1,5
aafkoeim-1,1
aafldcli-1,1
aafmoodo-1,6
aafnfden-1,1
aagagelj-1,5
aagajdpf-1,5
aagbcdjl-1,5
aagbclng-1,1
aagddbfd-1,5
aagdnjbf-1,5
aagecfbh-1,5
aagfjdkn-1,2
aaggggig-1,5
aaggpppm-1,1
aaghpobg-1,1
aagjbkbp-1,5
aagjgocb-1,1
aagjjcoj-1,5
aagkpjjc-1,5
aagmfcla-1,5
aagmieil-1,5
aagmpdff-1,4
aagnebdm-1,5
aagnfcgg-1,5
aagpbejc-1,1
aagpgnci-1,4
aagpjgif-1,5
aahanlml-1,5
aahbfpnp-1,5
aahcddjl-1,5
aahcpibk-1,7
aahdhcoi-1,5
aahdipjd-1,5
aahehlco-1,5
aahejdnc-1,1
aahejojo-1,7
aahfllia-1,5
aahgjfje-1,5
aahhepdf-1,7
aahjlfkn-1,1
aahkmpjc-1,5
aahmihal-1,5
aahmlhig-1,4
aahndcnj-1,5
aahnofkb-1,5
aahppkco-1,7
aaiadcpl-1,5
aaibapjf-1,5
aaicbcll-1,5
aaicgbcn-1,5
aaidfogg-1,2
aaidkkja-1,5
