Barcode,Cluster
aaaabecp-1,3
aaaadbcj-1,3
aaabklfa-1,3
aaacgbad-1,2
aaacmddf-1,3
aaadbjgj-1,3
aaadfkbh-1,3
aaaebeec-1,3
aaafmopb-1,5
aaahheih-1,3
aaahhlfb-1,5
aaaicojo-1,5
aaaidbmi-1,2
aaaiepfl-1,5
aaakmojh-1,2
aaalhcif-1,5
aaalnalc-1,5
aaamcmbp-1,3
aaamegfm-1,5
aaanoaia-1,5
aaaodiop-1,3
aaaopeop-1,3
aaapbpfd-1,3
aaapngoa-1,5
aabapopp-1,2
aabbhodm-1,3
aabbnmmj-1,5
aabckeod-1,5
aabdhhbf-1,5
aabdlmab-1,2
aabeknim-1,3
aabfcbeh-1,3
aabfilki-1,2
aabflpki-1,3
aabhjoec-1,3
aabieelk-1,3
aabijohe-1,3
aabipggl-1,3
aabkaoke-1,4
aabkbjdg-1,3
aabkklpe-1,3
aabneail-1,2
aabnfmfg-1,2
aabnkaie-1,3
aabnooed-1,3
aabobknk-1,3
aabogemb-1,3
aaboikhd-1,3
aacacppo-1,3
aaccfilg-1,3
aacdlhen-1,3
aaceldle-1,3
aacfojff-1,3
aaclckfl-1,3
aaclfgkf-1,3
aacmolad-1,3
aacnepgp-1,3
aacohlid-1,5
aacpcfkb-1,6
aadajija-1,5
aadbalin-1,5
aadbmgfl-1,5
aadbnnmd-1,5
aadchloc-1,5
aadcljge-1,5
aaddpofi-1,5
aadfdeib-1,5
aadfgmfo-1,5
aadfhbja-1,5
aadgaflp-1,5
aadgdmhe-1,5
aadgihbn-1,5
aadhbodd-1,5
aadilpee-1,5
aadklbhm-1,5
aadmcpgj-1,2
aadmicla-1,5
aadnlfaf-1,5
aadolefb-1,5
aadoobdp-1,5
aadpccfd-1,4
aadpioij-1,5
aadpldnc-1,5
aaeaafbl-1,5
aaeacajo-1,3
aaebekle-1,3
aaeddbmk-1,2
aaedjmmf-1,5
aaeefhnd-1,3
aaefcmnc-1,5
aaefcpfp-1,5
aaefnoaa-1,3
aaegnidn-1,5
aaeibfck-1,3
aaeihnoo-1,3
aaejcmnj-1,5
aaejgoma-1,5
aaekmmhn-1,5
aaelbcdf-1,4
aaelbmjd-1,3
aaelfhmg-1,5
aaelkceb-1,3
aaenjdkf-1,2
aaeoachn-1,3
aaeoajfc-1,3
aaepkega-1,3
aafalfmj-1,3
aafbbnoo-1,3
aafcekfi-1,3
aafcjnbb-1,5
aaffjnel-1,3
aafgdkib-1,3
aafgfmad-1,3
aafgpfpa-1,3
aafhbifm-1,5
aafiaolj-1,3
aafiighh-1,3
aafinafn-1,3
aafkioaf-1,3
aafmlfan-1,2
aafnbnic-1,3
aafnleio-1,3
aafnnjhb-1,3
aafoioeh-1,2
aafomool-1,3
aafpikid-1,3
aafpmklb-1,3
aagbahoi-1,4
aagbppha-1,3
aagdbndc-1,4
aagdmmoe-1,3
aageikfe-1,2
aagenejn-1,2
aagenfin-1,5
aagfdmon-1,4
aagfmahl-1,5
aaggdmkc-1,3
aaghffgo-1,3
aagildhh-1,3
aagjhnak-1,5
aagjljha-1,3
