Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000069431,ABCC9,0.2871883555059988,1.0634982108253666,0.00000000000000000000000000000000954870100930247,0.07504204082933535,-1.8823198178177107,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000010395117929145523,0.3738751946994371,1.1385419369867908,0.000000000000000000015568803214725852,0.0992765916851833,-1.0371329088746424,0.000000004882796368987931
ENSG00000123612,ACVR1C,0.24521092120411517,-0.9177732776303564,0.00000000000000000000005583939380601332,0.5588717537036894,1.119995971153189,0.00000000000000000000000000000000000020133442667053156,0.1792762204091563,-1.1846858781558958,0.0000000000000018655729355205826,0.4145993806370682,0.1392348317540042,0.3700195608608301
ENSG00000151388,ADAMTS12,0.033930307892144934,0.5116054906365699,0.0000028016010703147137,0.018195976755826626,-0.9078361768281598,0.00000000000000315407664766437,0.030536059520240907,0.16699794323281036,0.30813324118881047,0.040218980667642026,0.6090892941213175,0.0006247597571276108
ENSG00000145536,ADAMTS16,0.02699793492444797,0.7665697693704479,0.00000000002268284438371582,0.01603602268049469,-0.5142697343038272,0.000012800067970859678,0.016526684543212822,-0.3110277205555283,0.10123426178150985,0.014203729232066887,-0.5296138631558085,0.017670814218439253
ENSG00000156140,ADAMTS3,0.05605119650766036,0.7321542119893287,0.0000000000003354783735725276,0.030664802554333723,-0.7112196761419165,0.0000000000041842019621078354,0.04345095207718867,0.048289854067136595,0.7285006519617986,0.034537488974815275,-0.31153328188838714,0.10943963760668993
ENSG00000197381,ADARB1,0.2637785332231226,-0.8444859647585239,0.00000000000000000004258947363970551,0.5741223385386088,1.091273843609451,0.0000000000000000000000000000000000038008396132799854,0.3534083734439351,-0.17472838219597797,0.21670977472570724,0.1791165012633277,-1.2091430262515113,0.000000000002337356564636437
ENSG00000141433,ADCYAP1,0.29223958204025036,-1.207656977912623,0.000000000000000000000000000000000000046659265094430073,0.9097988377913313,1.7677482264390467,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001420163214023711,0.23881606406152567,-1.2516258612664404,0.00000000000000004697484015679903,0.19825415749179676,-1.499766007235157,0.000000000000000025195194263428873
ENSG00000120907,ADRA1A,0.6378479851182481,0.3406627780621362,0.0001355659328050269,0.5099455212397311,-0.2002487034730681,0.025226240361006267,0.4686573722783927,-0.27450135588420854,0.05075556081936684,0.5229962616186312,-0.09356590829067246,0.5923975073842429
ENSG00000170214,ADRA1B,0.06674586234224815,-1.1507512723085775,0.0000000000000000000000000000013022355804106492,0.17276359944965605,1.1307542705565403,0.0000000000000000000000000000000010123078187496677,0.14315830054650577,0.33595889850434224,0.01648008747780552,0.04320923945334032,-1.519969112475116,0.000000000000004415270456775459
ENSG00000159723,AGRP,0.013586057574883495,-1.9740848665446142,0.000000000000000000000000000000000000000000000000000000000005997130439882895,0.07612201786700132,2.634828886804597,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000805811631067982,0.008099169908594363,-2.3698654391639913,0.00000000000000000000000000013354141707465256,0.012110548082078083,-1.7349667254069292,0.00000000000005517865292472448
