Barcode,Cluster
aaaacigd-1,3
aaackknk-1,4
aaacmaml-1,7
aaadknpa-1,4
aaaecakc-1,7
aaaeidcf-1,4
aaaenhep-1,5
aaafkkjo-1,3
aaahfpoo-1,3
aaahpnfd-1,3
aaakomnd-1,3
aaaldepi-1,3
aaamcnng-1,3
aaampjja-1,5
aaangcij-1,4
aaanppoe-1,5
aaapdkoo-1,4
aabbdefb-1,8
aabbnmog-1,4
aabccpjp-1,3
aabceonh-1,3
aabcnkdn-1,4
aabffdce-1,3
aabfkfki-1,3
aabiampc-1,3
aablmbpk-1,2
aablobhn-1,4
aabnbgii-1,4
aabnklfc-1,4
aabokedn-1,3
aacbhbfk-1,4
aaccbnfe-1,5
aacdakij-1,7
aacdfkje-1,3
aacdieoo-1,4
aacfjakj-1,4
aacfjgmi-1,3
aacfkjln-1,3
aacflamf-1,3
aacgcgkh-1,7
aacikpkm-1,4
aackdpoi-1,3
aaclegdi-1,4
aacndogm-1,7
aacngjhc-1,3
aacnlakc-1,3
aacobogj-1,3
aadbgfin-1,3
aadbkeib-1,4
aadbmikg-1,7
aadcaijj-1,4
aadcocca-1,4
aaddcjnp-1,4
aaddjejp-1,4
aaddnjhl-1,3
aademhoc-1,4
aadepiek-1,7
aadfpfph-1,4
aadgdnfc-1,4
aadghpkk-1,4
aadgkpep-1,7
aadhbcjm-1,3
aadhinkg-1,2
aadiaago-1,2
aadidbdb-1,2
aadijepo-1,2
aadjlkja-1,2
aadjmehh-1,1
aadloacn-1,7
aadlopjd-1,1
aadmndbp-1,1
aadninkn-1,2
aadnoono-1,2
aaeadlel-1,5
aaeaekbc-1,2
aaecadbm-1,7
aaedpoek-1,2
aaeenjma-1,2
aaeflfad-1,1
aaeglmpn-1,1
aaeijgok-1,2
aaejfcoj-1,2
aaejgfnh-1,2
aaejpoli-1,2
aaelmgdj-1,2
aaemncke-1,2
aaenalbf-1,2
aaenlbib-1,5
aaeomhed-1,2
aaepahom-1,2
aafbkkld-1,2
aafbkmbi-1,1
aafbpikc-1,1
aafccfde-1,2
aafcfamm-1,2
aafdgffl-1,2
aafekfda-1,2
aaffegcp-1,2
aafgkmbh-1,2
aafhfogg-1,2
aafhgdjf-1,2
aafhlihd-1,1
aafjcoal-1,2
aafjfecb-1,2
aafjhain-1,2
aafjhlle-1,1
aafkbibm-1,1
aafnddpo-1,2
aafodceo-1,2
aafofflh-1,2
aafoobag-1,5
aafpiehm-1,1
aagbkedg-1,2
aagbndki-1,7
aagckick-1,1
aagdpked-1,2
aaghmabm-1,1
aagibldo-1,2
aagifljc-1,2
aagiibom-1,2
aagiiphd-1,2
aagijdkn-1,1
aagjifom-1,2
aagjnmme-1,2
aagkcjnp-1,5
aagldnig-1,2
aaglfmjo-1,5
aagljlpo-1,2
aagllgdo-1,1
aagnapnc-1,6
aagofgfi-1,6
aagoligb-1,6
aagpjgof-1,1
aagpoelg-1,6
aahaefka-1,6
aahanaho-1,1
aahboffg-1,1
aahcdmdl-1,1
aahcpkbk-1,1
aahdfcja-1,1
aahdgddh-1,2
aahdnohi-1,1
aahecbdf-1,1
aahgkbdm-1,2
aahhhooc-1,7
aahhjdkk-1,2
aahkelgn-1,1
aahldgcg-1,6
aahomgdg-1,1
aahpodhl-1,1
aaiaplfa-1,1
aaidgkkl-1,1
aaieddac-1,2
aaifgdbp-1,6
aaihjhdc-1,2
aaihpgfa-1,4
aaijcklf-1,2
aaijffil-1,2
aaikkbmj-1,1
aaikkmjb-1,1
aailaolo-1,1
aaildgbl-1,1
aaileenl-1,2
aaimgdhf-1,1
aajbhgpm-1,2
aajehedj-1,2
aajejiff-1,1
aajemfhh-1,6
aajfoccg-1,6
aajgdibh-1,1
aajimbnm-1,1
aajiplbp-1,6
aajkfego-1,6
aajlikia-1,1
aajnappk-1,1
aajnddde-1,2
aajnhgbh-1,1
aajolnpe-1,1
aajpfnai-1,5
aakamalf-1,6
aakhhkmf-1,2
aakhmgpi-1,2
aakjajio-1,2
aaklofjd-1,5
aakmndlj-1,5
aaknfjod-1,5
aaknmeef-1,7
aalbbdhg-1,1
aalcddcc-1,2
aaldelgk-1,2
aalfpafj-1,1
aalglmfg-1,1
aalhdmlh-1,1
aalhpinm-1,1
aalickhc-1,2
aalifjkg-1,1
aalihnkg-1,3
aaljoaeh-1,2
aalkbcgh-1,2
aallcgii-1,2
aalnmebp-1,1
aalnpffg-1,1
aalodcgg-1,1
aalpfoap-1,5
aalpmgod-1,2
aamabcem-1,2
aambjdno-1,1
aamcmnga-1,1
aamdhfnl-1,5
aamdljbf-1,2
aamefihm-1,6
aamejhhh-1,5
aamicjbk-1,1
aamielfc-1,1
aamjdepc-1,1
aamjpbkf-1,1
aamlhnhp-1,2
aamlkbnb-1,6
aamlnefe-1,1
aammbglh-1,4
aammchke-1,3
aammhfek-1,4
aammjein-1,3
aamocpem-1,3
aamonacf-1,3
aamoplfa-1,4
aampgmfe-1,4
aamphmkh-1,3
aampnjoa-1,4
aanbglfp-1,3
aanccddn-1,3
aanchdba-1,4
aancmofk-1,4
aanedfji-1,3
aangopcj-1,4
aaniobkh-1,3
aanlblfo-1,3
aanldpbn-1,3
aanmfaib-1,3
aanncnbe-1,4
aanniadd-1,3
aannjifh-1,3
aaoabicc-1,3
aaoadcoi-1,4
aaoakhkb-1,3
aaoeagio-1,3
aaofglmo-1,4
aaogakfg-1,3
aaogjceb-1,3
aaohmkgn-1,8
aaojbold-1,4
aaojphno-1,3
aaokapma-1,3
aaolaiej-1,3
aaomdkhl-1,3
aaomodpa-1,3
aaonbebo-1,3
aaonmjpb-1,3
aapacefg-1,3
aapadepm-1,4
aapakkej-1,3
aapaokik-1,5
aapckhpj-1,4
aapdhdmm-1,4
aapdijnf-1,4
aapeolke-1,3
aapfgmbm-1,3
aapfjlmf-1,4
aapfpbla-1,4
aapgpnpo-1,3
aaphbkam-1,3
aaphdagl-1,3
aaphmafh-1,3
aaphoihn-1,3
aapigcba-1,4
aapipkcd-1,4
aapjofol-1,5
aapkcpce-1,3
aapkjeba-1,5
aapkjlid-1,3
aapknkff-1,7
aapmkmen-1,4
aapmninn-1,4
aappblfb-1,5
abaaemjo-1,3
abaekden-1,4
abagampl-1,3
abagipif-1,4
abaglbcm-1,3
abahebop-1,4
abaieiib-1,3
abajgagj-1,3
abakmgkl-1,4
abakokkh-1,4
abaldmdl-1,3
abalkefl-1,4
abambeil-1,3
abamncmf-1,3
abamnpac-1,4
abamoncg-1,1
abapljhk-1,4
abbacfcd-1,1
abbajmjc-1,4
abbaojib-1,4
abbbnodk-1,4
abbbpoio-1,5
abbcphjj-1,3
abbdfjph-1,3
abbeghgm-1,3
abbhmhoj-1,3
abbjbhpj-1,1
abbkgljd-1,3
abbmmdgg-1,5
abbmoake-1,5
abbmphhd-1,3
abbnoijh-1,8
abboldhm-1,3
abbpeffn-1,3
abcaemhh-1,4
abcanbnp-1,3
abcbabde-1,4
abcdkfph-1,3
abcdnnaa-1,4
abceejlb-1,7
abcfboad-1,4
abcfifij-1,4
abchkloc-1,4
abcihdma-1,3
abckekdg-1,3
abckkkdn-1,3
abcncbjp-1,4
abcnjaje-1,4
abcobhcl-1,4
abdakljc-1,3
abdbhmkg-1,4
abdccgkf-1,3
abddhgpm-1,4
abdeepjb-1,5
abdfjonh-1,5
abdgkgia-1,1
abdknola-1,5
abdlcomm-1,5
abdncgdl-1,7
abdncknl-1,1
abdphina-1,2
abdpjbfe-1,4
abdpodki-1,3
abdpogil-1,3
abedmidc-1,7
abehofme-1,5
abekmgda-1,7
abekofig-1,5
abencknm-1,7
abennhfo-1,6
abeojfdg-1,5
abfaemda-1,7
abfbbmfc-1,5
abfblnie-1,5
abfciekj-1,7
abfeibif-1,5
abfeihej-1,5
abfeonpo-1,5
abffkppf-1,5
abffoghd-1,5
abfgfljp-1,5
abfhiing-1,5
abficbna-1,2
abfijbol-1,5
abfnplmd-1,5
abfpbcen-1,5
abgblcii-1,5
abgchbkm-1,5
abgckhbj-1,5
abgclmkn-1,5
abgekkne-1,5
abgfjanc-1,5
abgfndfe-1,5
abgggaln-1,5
abggnnpm-1,5
abgihfcb-1,5
abgimiaa-1,5
abgjaeff-1,5
abgjobek-1,3
abgkecii-1,5
abgldnho-1,5
abglfihn-1,5
abgljehn-1,5
abgmfeka-1,5
abhekjof-1,5
abhepejo-1,5
abhfigpc-1,5
abhgcboa-1,3
abhglnpm-1,5
abhgpmac-1,5
abhhofnh-1,5
abhikpap-1,5
abhjcidh-1,5
abhjghdp-1,5
abhkpbnf-1,5
